Query,Code_Snippet,Language,Tags
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,advanced
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,example
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,real-world
How to find a string in a file?,grep 'search_term' file.txt,Shell,common-issues
How to list files in a directory?,ls -l,Shell,common-issues
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,common-issues
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,example
How to list files in a directory?,ls -l,Shell,common-issues
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,real-world
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,tutorial
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,example
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,real-world
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,example
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,common-issues
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,example
How to handle missing data in pandas?,"df.fillna(0, inplace=True)",Python,real-world
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,tutorial
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,common-issues
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,common-issues
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,example
How to list files in a directory?,ls -l,Shell,example
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,advanced
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,common-issues
How to use a lambda function in Python?,lambda x: x + 2,Python,example
How to find a string in a file?,grep 'search_term' file.txt,Shell,common-issues
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,tutorial
How to implement an interface in Java?,public class MyClass implements MyInterface {},Java,advanced
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,real-world
How to create a REST API in Flask?,"from flask import Flask
app = Flask(__name__)
@app.route('/')
def home():
    return 'Hello, API!'",Python,real-world
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,common-issues
How to create a list comprehension in Python?,[x**2 for x in range(10)],Python,tutorial
How to find a string in a file?,grep 'search_term' file.txt,Shell,example
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,tutorial
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,tutorial
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,example
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,example
How to count lines in a file?,wc -l file.txt,Shell,common-issues
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,common-issues
How to create a REST API in Flask?,"from flask import Flask
app = Flask(__name__)
@app.route('/')
def home():
    return 'Hello, API!'",Python,advanced
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,advanced
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,common-issues
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,real-world
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,real-world
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,tutorial
How to list files in a directory?,ls -l,Shell,common-issues
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,real-world
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,tutorial
How to use a lambda function in Python?,lambda x: x + 2,Python,real-world
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,example
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,advanced
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,advanced
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,real-world
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,common-issues
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,common-issues
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,common-issues
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,real-world
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,advanced
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,tutorial
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,example
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,example
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,common-issues
How to handle missing data in pandas?,"df.fillna(0, inplace=True)",Python,tutorial
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,real-world
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,tutorial
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,example
How to implement an interface in Java?,public class MyClass implements MyInterface {},Java,advanced
How to count lines in a file?,wc -l file.txt,Shell,advanced
How to create a REST API in Flask?,"from flask import Flask
app = Flask(__name__)
@app.route('/')
def home():
    return 'Hello, API!'",Python,advanced
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,example
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,example
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,tutorial
How to count lines in a file?,wc -l file.txt,Shell,common-issues
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,advanced
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,real-world
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,example
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,advanced
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,real-world
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,real-world
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,example
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,real-world
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,example
How to use a lambda function in Python?,lambda x: x + 2,Python,example
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,tutorial
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,tutorial
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,common-issues
How to create a REST API in Flask?,"from flask import Flask
app = Flask(__name__)
@app.route('/')
def home():
    return 'Hello, API!'",Python,real-world
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,tutorial
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,advanced
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,example
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,common-issues
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,real-world
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,advanced
How to find a string in a file?,grep 'search_term' file.txt,Shell,tutorial
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,example
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,example
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,real-world
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,common-issues
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,tutorial
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,advanced
How to use a lambda function in Python?,lambda x: x + 2,Python,common-issues
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,example
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,common-issues
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,real-world
How to use a lambda function in Python?,lambda x: x + 2,Python,tutorial
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,common-issues
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,common-issues
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,advanced
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,tutorial
How to list files in a directory?,ls -l,Shell,common-issues
How to find a string in a file?,grep 'search_term' file.txt,Shell,tutorial
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,common-issues
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,advanced
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,advanced
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,common-issues
How to implement an interface in Java?,public class MyClass implements MyInterface {},Java,advanced
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,advanced
How to find a string in a file?,grep 'search_term' file.txt,Shell,example
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,real-world
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,common-issues
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,tutorial
How to list files in a directory?,ls -l,Shell,real-world
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,example
How to use a lambda function in Python?,lambda x: x + 2,Python,advanced
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,real-world
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,tutorial
How to find a string in a file?,grep 'search_term' file.txt,Shell,advanced
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,real-world
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,example
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,tutorial
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,example
How to use a lambda function in Python?,lambda x: x + 2,Python,tutorial
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,example
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,advanced
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,advanced
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,example
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,common-issues
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,common-issues
How to create a list comprehension in Python?,[x**2 for x in range(10)],Python,common-issues
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,example
How to find a string in a file?,grep 'search_term' file.txt,Shell,example
How to implement an interface in Java?,public class MyClass implements MyInterface {},Java,advanced
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,example
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,tutorial
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,advanced
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,example
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,real-world
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,real-world
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,common-issues
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,advanced
How to implement an interface in Java?,public class MyClass implements MyInterface {},Java,common-issues
How to list files in a directory?,ls -l,Shell,common-issues
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,example
How to find a string in a file?,grep 'search_term' file.txt,Shell,real-world
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,example
How to list files in a directory?,ls -l,Shell,common-issues
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,common-issues
How to find a string in a file?,grep 'search_term' file.txt,Shell,real-world
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,common-issues
How to find a string in a file?,grep 'search_term' file.txt,Shell,example
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,real-world
How to handle missing data in pandas?,"df.fillna(0, inplace=True)",Python,tutorial
How to count lines in a file?,wc -l file.txt,Shell,real-world
How to use a lambda function in Python?,lambda x: x + 2,Python,tutorial
How to use a lambda function in Python?,lambda x: x + 2,Python,common-issues
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,advanced
How to create a REST API in Flask?,"from flask import Flask
app = Flask(__name__)
@app.route('/')
def home():
    return 'Hello, API!'",Python,advanced
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,tutorial
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,common-issues
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,common-issues
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,common-issues
How to find a string in a file?,grep 'search_term' file.txt,Shell,advanced
How to find a string in a file?,grep 'search_term' file.txt,Shell,common-issues
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,example
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,advanced
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,real-world
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,advanced
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,advanced
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,real-world
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,common-issues
How to implement an interface in Java?,public class MyClass implements MyInterface {},Java,advanced
How to list files in a directory?,ls -l,Shell,advanced
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,real-world
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,common-issues
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,example
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,tutorial
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,common-issues
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,example
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,common-issues
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,example
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,advanced
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,tutorial
How to list files in a directory?,ls -l,Shell,example
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,common-issues
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,example
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,real-world
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,real-world
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,example
How to list files in a directory?,ls -l,Shell,tutorial
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,advanced
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,tutorial
How to create a REST API in Flask?,"from flask import Flask
app = Flask(__name__)
@app.route('/')
def home():
    return 'Hello, API!'",Python,real-world
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,common-issues
How to count lines in a file?,wc -l file.txt,Shell,advanced
How to find a string in a file?,grep 'search_term' file.txt,Shell,tutorial
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,example
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,real-world
How to implement an interface in Java?,public class MyClass implements MyInterface {},Java,example
How to list files in a directory?,ls -l,Shell,tutorial
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,common-issues
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,example
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,tutorial
How to count lines in a file?,wc -l file.txt,Shell,real-world
How to create a REST API in Flask?,"from flask import Flask
app = Flask(__name__)
@app.route('/')
def home():
    return 'Hello, API!'",Python,real-world
How to handle missing data in pandas?,"df.fillna(0, inplace=True)",Python,real-world
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,example
How to handle missing data in pandas?,"df.fillna(0, inplace=True)",Python,real-world
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,real-world
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,common-issues
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,common-issues
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,example
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,example
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,advanced
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,advanced
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,advanced
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,tutorial
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,tutorial
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,real-world
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,advanced
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,common-issues
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,tutorial
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,advanced
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,advanced
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,advanced
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,tutorial
How to list files in a directory?,ls -l,Shell,common-issues
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,common-issues
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,common-issues
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,tutorial
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,tutorial
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,real-world
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,real-world
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,example
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,tutorial
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,common-issues
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,example
How to create a list comprehension in Python?,[x**2 for x in range(10)],Python,real-world
How to work with threads in Java?,Thread t = new Thread(() -> System.out.println('Running in thread'));,Java,example
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,advanced
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,example
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,tutorial
How to create a list comprehension in Python?,[x**2 for x in range(10)],Python,example
How to use a lambda function in Python?,lambda x: x + 2,Python,example
How to implement an interface in Java?,public class MyClass implements MyInterface {},Java,example
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,advanced
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,example
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,advanced
How to use a lambda function in Python?,lambda x: x + 2,Python,advanced
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,real-world
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,example
How to handle missing data in pandas?,"df.fillna(0, inplace=True)",Python,tutorial
How to handle events in JavaScript?,"element.addEventListener('click', () => console.log('Clicked!'));",JavaScript,example
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,example
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,example
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,common-issues
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,advanced
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,common-issues
How to count lines in a file?,wc -l file.txt,Shell,real-world
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,example
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,example
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,tutorial
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,common-issues
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,real-world
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,advanced
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,real-world
How to use a subquery in SQL?,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);,SQL,tutorial
How to handle missing data in pandas?,"df.fillna(0, inplace=True)",Python,advanced
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,example
How to update data in SQL?,UPDATE users SET name = 'John' WHERE id = 1;,SQL,example
How to connect to a database using SQLAlchemy?,"from sqlalchemy import create_engine
engine = create_engine('sqlite:///mydb.db')",Python,example
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,tutorial
How to count lines in a file?,wc -l file.txt,Shell,tutorial
How to handle missing data in pandas?,"df.fillna(0, inplace=True)",Python,common-issues
How to count lines in a file?,wc -l file.txt,Shell,tutorial
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,common-issues
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,tutorial
How to delete rows in SQL?,DELETE FROM users WHERE age < 18;,SQL,common-issues
How to list files in a directory?,ls -l,Shell,common-issues
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,advanced
How to use async/await in JavaScript?,"async function fetchData() {
    const response = await fetch(url);
    return await response.json();
}",JavaScript,tutorial
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,example
How to count lines in a file?,wc -l file.txt,Shell,example
How to find a string in a file?,grep 'search_term' file.txt,Shell,common-issues
How to list files in a directory?,ls -l,Shell,tutorial
How to use streams in Java 8?,List<String> filtered = list.stream().filter(s -> s.startsWith('a')).collect(Collectors.toList());,Java,example
How to create a table in SQL?,"CREATE TABLE users (id INT, name VARCHAR(100));",SQL,advanced
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,tutorial
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,example
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,advanced
How to create a module in ES6?,export const myFunc = () => console.log('Module function');,JavaScript,real-world
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,real-world
How to create a generic class in Java?,"public class Box<T> {
    private T value;
}",Java,example
How to create a REST API in Flask?,"from flask import Flask
app = Flask(__name__)
@app.route('/')
def home():
    return 'Hello, API!'",Python,example
How to perform matrix multiplication in numpy?,"import numpy as np
np.dot(A, B)",Python,common-issues
How to use WebSockets in JavaScript?,"const socket = new WebSocket('ws://example.com');
socket.onmessage = event => console.log(event.data);",JavaScript,tutorial
How to create a shell script?,"echo -e '#!/bin/bash
echo Hello World' > script.sh",Shell,tutorial
How to write a JOIN query in SQL?,SELECT * FROM orders JOIN customers ON orders.customer_id = customers.id;,SQL,real-world
How to count lines in a file?,wc -l file.txt,Shell,advanced
How to list files in a directory?,ls -l,Shell,advanced
How to write a unit test in Java?,"@Test
public void testMethod() {
    assertEquals(5, sum(2, 3));
}",Java,example
How to use a lambda function in Python?,lambda x: x + 2,Python,common-issues
